[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
2,1000,40,7.7,28,4,927,34,16,23,73,7.772853194,106,391,39.93160284,9.381668166,6.80148668,8.698686902,463,25,464,48,488,512
5,1000,40,7.7,28,5,959,22,10,9,41,6.789270914,87,404,40.0640957,8.60982013,6.264373498,7.344409333,495,19,464,22,514,486
1,1000,40,7.7,28,4,944,31,13,12,56,7.240402116,84,397,39.90082884,8.879997034,6.544347579,7.875235796,459,18,485,38,477,523
3,1000,40,7.7,28,5,934,37,11,18,66,7.57067015,107,406,40.19133262,9.170161723,6.532331572,8.592527163,473,23,461,43,496,504
7,1000,40,7.7,28,5,937,31,18,14,63,7.603573458,110,402,40.17990141,9.256890351,7.307840647,7.892292842,471,23,466,40,494,506
6,1000,40,7.7,28,5,947,28,14,11,53,7.011243619,86,423,39.9454282,9.149912404,6.147296747,7.892643963,484,21,463,32,505,495
8,1000,40,7.7,28,5,937,26,21,16,63,7.450452915,85,401,40.39279822,8.984432968,6.638880207,8.351058917,503,23,434,40,526,474
4,1000,40,7.7,28,6,949,24,12,15,51,7.164458772,86,394,40.3047998,8.94688974,6.275923923,8.02500827,477,15,472,36,492,508
2,1000,40,7.7,28,5,929,31,17,23,71,7.804899965,97,427,39.97362358,9.40622559,6.824565352,8.739281393,464,24,465,47,488,512
5,1000,40,7.7,28,6,959,22,10,9,41,6.834790088,84,423,40.08819539,8.62775096,6.280242561,7.421286855,495,19,464,22,514,486
1,1000,40,7.7,28,5,945,30,13,12,55,7.234722145,103,387,39.93306621,8.88802365,6.55544173,7.854257055,459,18,486,37,477,523
6,1000,40,7.7,28,6,948,28,13,11,52,7.011710853,94,406,39.95905836,9.161307557,6.121086224,7.920327898,486,19,462,33,505,495
3,1000,40,7.7,28,6,934,37,11,18,66,7.582459569,100,409,40.22319254,9.189096081,6.539581241,8.608784273,472,24,462,42,496,504
7,1000,40,7.7,28,6,939,29,18,14,61,7.637491544,98,394,40.19506293,9.262037932,7.332868045,7.93489077,472,22,467,39,494,506
8,1000,40,7.7,28,6,937,26,22,15,63,7.455517949,89,408,40.42608875,9.013520031,6.672022071,8.324966962,503,23,434,40,526,474
4,1000,40,7.7,28,7,948,25,12,15,52,7.19048856,91,400,40.36181448,8.963841606,6.29119332,8.06145954,477,15,471,37,492,508
2,1000,40,7.7,28,6,934,29,15,22,66,7.775181688,100,420,40.01801244,9.447200567,6.846776885,8.660067516,465,23,469,43,488,512
5,1000,40,7.7,28,7,959,22,10,9,41,6.841240994,83,391,40.09685498,8.639365417,6.276726538,7.438278917,495,19,464,22,514,486
6,1000,40,7.7,28,7,948,28,13,11,52,7.017998884,83,441,39.9744587,9.183067294,6.138954623,7.914801614,486,19,462,33,505,495
1,1000,40,7.7,28,6,946,29,13,12,54,7.237500049,89,400,39.95508677,8.900147204,6.570003323,7.846287695,459,18,487,36,477,523
3,1000,40,7.7,28,7,936,36,11,17,64,7.564152214,105,399,40.23225906,9.20791459,6.531755458,8.580161719,473,23,463,41,496,504
7,1000,40,7.7,28,7,940,28,18,14,60,7.64770553,84,395,40.20725374,9.279749689,7.333587144,7.954374468,473,21,467,39,494,506
8,1000,40,7.7,28,7,935,26,23,16,65,7.490957187,105,395,40.43928151,9.026804486,6.709476372,8.358170075,502,24,433,41,526,474
4,1000,40,7.7,28,8,951,23,12,14,49,7.179221453,90,405,40.3864058,8.972169967,6.318691485,8.012648115,477,15,474,34,492,508
2,1000,40,7.7,28,7,936,27,15,22,64,7.788000451,106,394,40.03780484,9.45576054,6.847383211,8.684526257,466,22,470,42,488,512
5,1000,40,7.7,28,8,960,21,10,9,40,6.868706608,93,420,40.15185182,8.671609494,6.280644646,7.490648683,496,18,464,22,514,486
6,1000,40,7.7,28,8,949,28,12,11,51,7.033065217,105,401,40.01948425,9.18200499,6.150698075,7.933257957,486,19,463,32,505,495
7,1000,40,7.7,28,8,939,29,17,15,61,7.6939776,97,383,40.23696495,9.296314506,7.375038551,8.005352877,473,21,466,40,494,506
1,1000,40,7.7,28,7,947,30,12,11,53,7.225560197,94,417,39.99492322,8.90210066,6.581548389,7.812928518,459,18,488,35,477,523
8,1000,40,7.7,28,8,937,26,22,15,63,7.489241845,84,401,40.45533331,9.016836173,6.700334886,8.364695559,504,22,433,41,526,474
3,1000,40,7.7,28,8,936,35,12,17,64,7.626286471,76,406,40.23957272,9.22625722,6.62377196,8.612888054,473,23,463,41,496,504
