[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
2,1000,50,7.7,28,0,954,16,19,11,46,6.86,70,517,50.04469376,8.639704518,5.946954813,7.806517312,492,17,462,29,509,491
3,1000,50,7.7,28,0,945,28,15,12,55,7.246,98,504,49.81605309,8.778724758,6.39,8.102,481,19,464,36,500,500
5,1000,50,7.7,28,0,945,27,10,18,55,7.203,98,519,50.13805163,8.778025917,6.383673469,7.990196078,472,18,473,37,490,510
7,1000,50,7.7,28,0,940,34,10,16,60,7.16,109,484,49.96295015,8.863775664,6.374493927,7.92687747,472,22,468,38,494,506
6,1000,50,7.7,28,0,940,29,13,18,60,7.355,92,487,49.92424338,8.926116858,6.596348884,8.09270217,470,23,470,37,493,507
8,1000,50,7.7,28,0,944,27,18,11,56,7.28,81,490,49.94115428,8.741363196,6.675944334,7.891348089,483,20,461,36,503,497
4,1000,50,7.7,28,0,942,28,15,15,58,7.342,89,518,49.87549705,8.958684703,6.226993865,8.409001957,475,14,467,44,489,511
1,1000,50,7.7,28,0,945,29,14,12,55,7.206,95,485,50.30580704,8.80530312,6.481557377,7.896484375,475,13,470,42,488,512
3,1000,50,7.7,28,1,946,27,15,12,54,7.244929861,90,529,49.86941366,8.778035646,6.384066687,8.105793035,481,19,465,35,500,500
2,1000,50,7.7,28,1,952,18,19,11,48,6.88578826,105,520,50.09331435,8.644819609,5.978728468,7.826100754,491,18,461,30,509,491
