[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
5,1000,30,7.7,28,0,942,32,12,14,58,7.233,98,311,30.0323924,8.867914028,6.475206612,7.94379845,467,17,475,41,484,516
2,1000,30,7.7,28,0,927,40,19,14,73,7.529,85,303,30.13054547,9.195267634,6.970588235,8.110204082,480,30,447,43,510,490
7,1000,30,7.7,28,0,944,29,20,7,56,7.315,112,301,29.89689833,8.843360509,6.43452381,8.209677419,491,13,453,43,504,496
6,1000,30,7.7,28,0,942,30,14,14,58,7.313,105,325,30.15195328,8.939169431,6.442528736,8.263598326,500,22,442,36,522,478
4,1000,30,7.7,28,0,941,25,16,18,59,7.208,92,302,29.98293309,9.027182339,6.272222222,8.306521739,524,16,417,43,540,460
3,1000,30,7.7,28,0,934,33,18,15,66,7.492,93,285,30.18448122,9.102394984,6.597701149,8.468619247,497,25,437,41,522,478
8,1000,30,7.7,28,0,935,43,10,12,65,6.993,90,300,29.95825679,8.967258279,5.871369295,8.036679537,469,13,466,52,482,518
1,1000,30,7.7,28,0,930,35,15,20,70,7.518,101,287,30.14131555,9.157379232,6.351515152,8.661386139,472,23,458,47,495,505
7,1000,30,7.7,28,1,943,30,21,6,57,7.355331835,107,305,29.9112983,8.877861427,6.484008478,8.240708794,491,13,452,44,504,496
5,1000,30,7.7,28,1,942,32,11,15,58,7.266890165,93,310,30.04322306,8.859712656,6.510557579,7.976318406,467,17,475,41,484,516
2,1000,30,7.7,28,1,928,38,20,14,72,7.525286918,88,312,30.14674438,9.207042024,6.951906236,8.122070893,482,28,446,44,510,490
3,1000,30,7.7,28,1,934,33,18,15,66,7.518092423,90,333,30.22781377,9.104631985,6.62961505,8.488354323,497,25,437,41,522,478
6,1000,30,7.7,28,1,944,29,13,14,56,7.328212938,121,287,30.18224388,8.952053519,6.464283262,8.271667522,501,21,443,35,522,478
8,1000,30,7.7,28,1,936,41,11,12,64,7.002251213,89,326,29.97272172,8.977451834,5.900300206,8.027618753,469,13,467,51,482,518
1,1000,30,7.7,28,1,932,33,15,20,68,7.501537681,93,315,30.17201056,9.166576542,6.333616818,8.646331399,473,22,459,46,495,505
4,1000,30,7.7,28,1,943,23,16,18,57,7.22136763,92,308,29.99499947,9.039358289,6.281410788,8.324795228,524,16,419,41,540,460
7,1000,30,7.7,28,2,941,32,21,6,59,7.375696183,83,320,29.91317468,8.882069416,6.485011213,8.280747039,491,13,450,46,504,496
2,1000,30,7.7,28,2,931,37,19,13,69,7.504361576,101,316,30.14506196,9.232504157,6.953338123,8.077875782,484,26,447,43,510,490
5,1000,30,7.7,28,2,942,32,11,15,58,7.285206774,81,317,30.07037055,8.873004775,6.53725743,7.986771663,467,17,475,41,484,516
3,1000,30,7.7,28,2,937,33,15,15,63,7.506460503,103,316,30.24384575,9.120561699,6.63520846,8.457911479,497,25,440,38,522,478
6,1000,30,7.7,28,2,944,29,13,14,56,7.355780475,79,321,30.18866036,8.955091257,6.504576167,8.285338318,501,21,443,35,522,478
8,1000,30,7.7,28,2,936,40,12,12,64,7.046541288,92,280,29.97838555,8.990062887,5.955130614,8.062101027,468,14,468,50,482,518
7,1000,30,7.7,28,3,942,32,21,5,58,7.385303547,103,289,29.92086991,8.893459709,6.507241388,8.277527999,491,13,451,45,504,496
4,1000,30,7.7,28,2,942,24,16,18,58,7.24851321,100,313,30.04593273,9.063328094,6.309926327,8.350332595,524,16,418,42,540,460
1,1000,30,7.7,28,2,933,32,15,20,67,7.517830257,84,315,30.17159368,9.164675125,6.298805925,8.712715494,474,21,459,46,495,505
2,1000,30,7.7,28,3,931,37,19,13,69,7.526371227,110,298,30.16031565,9.257449539,6.998945433,8.075324604,484,26,447,43,510,490
5,1000,30,7.7,28,3,942,32,11,15,58,7.289938218,94,304,30.07825401,8.875053789,6.560214869,7.974407405,466,18,476,40,484,516
3,1000,30,7.7,28,3,938,32,15,15,62,7.5257165,101,293,30.2622225,9.140813407,6.682258115,8.446815405,496,26,442,36,522,478
8,1000,30,7.7,28,3,938,41,10,11,62,7.026973178,80,310,30.01555235,8.993311511,5.924363452,8.052953656,469,13,469,49,482,518
7,1000,30,7.7,28,4,943,31,21,5,57,7.413323312,89,305,29.94553647,8.914557461,6.571861997,8.268356585,491,13,452,44,504,496
