[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
5,1000,60,7.7,28,0,943,27,21,9,57,7.234,110,629,59.69771748,8.861938324,6.546534653,7.935353535,483,22,460,35,505,495
2,1000,60,7.7,28,0,947,24,17,12,53,6.798,91,627,59.87062741,8.845583469,6.128099174,7.426356589,465,19,482,34,484,516
4,1000,60,7.7,28,0,944,30,11,15,56,6.927,80,607,60.06857092,8.775046436,5.933333333,7.844230769,466,14,478,42,480,520
8,1000,60,7.7,28,0,934,38,17,11,66,7.077,99,627,60.15784758,9.009278591,6.552521008,7.553435115,449,27,485,39,476,524
6,1000,60,7.7,28,0,942,30,14,14,58,7.226,84,582,60.23161281,9.019673984,6.355691057,8.068897638,470,22,472,36,492,508
7,1000,60,7.7,28,0,938,33,13,16,62,7.135,77,608,59.97294737,8.961307283,6.471193416,7.762645914,460,26,478,36,486,514
3,1000,60,7.7,28,0,948,19,15,18,52,7.077,86,593,60.27608966,8.71040103,6.090163934,8.017578125,471,17,477,35,488,512
1,1000,60,7.7,28,0,940,26,20,14,60,7.351,91,607,60.04644576,8.92968187,6.845188285,7.814176245,454,24,486,36,478,522
5,1000,60,7.7,28,1,943,28,21,8,57,7.24998491,76,607,59.75493947,8.883295083,6.547770681,7.966385285,483,22,460,35,505,495
6,1000,60,7.7,28,1,941,29,16,14,59,7.266122855,93,618,60.25851544,9.044666258,6.438727763,8.067458258,469,23,472,36,492,508
8,1000,60,7.7,28,1,937,36,17,10,63,7.088867737,100,604,60.20201552,9.025964158,6.601806656,7.531312536,451,25,486,38,476,524
3,1000,60,7.7,28,1,949,18,15,18,51,7.064604718,96,603,60.31118602,8.724979728,6.075461705,8.007381652,471,17,478,34,488,512
7,1000,60,7.7,28,1,940,31,13,16,60,7.12380709,84,612,60.0291379,8.981812714,6.468897493,7.743040678,462,24,478,36,486,514
2,1000,60,7.7,28,1,951,22,16,11,49,6.772359717,86,611,59.9109317,8.857473679,6.110837079,7.392857694,467,17,484,32,484,516
4,1000,60,7.7,28,1,944,30,11,15,56,6.94188683,78,613,60.08165,8.783241403,5.963695104,7.844833038,466,14,478,42,480,520
1,1000,60,7.7,28,1,939,27,20,14,61,7.358021767,91,607,60.08969756,8.947239279,6.84655908,7.826372657,453,25,486,36,478,522
