[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
5,1000,80,7.7,28,0,946,27,13,14,54,7.134,91,816,80.09089168,8.794181986,5.886639676,8.351778656,480,14,466,40,494,506
7,1000,80,7.7,28,0,943,28,14,15,57,7.085,93,815,80.05613195,8.886803999,6.635080645,7.527777778,477,19,466,38,496,504
4,1000,80,7.7,28,0,942,28,16,14,58,7.016,97,816,79.96961495,8.904805186,6.444906445,7.545279383,459,22,483,36,481,519
8,1000,80,7.7,28,0,960,23,12,5,40,6.736,94,801,80.19530657,8.537402986,6.087378641,7.424742268,503,12,457,28,515,485
3,1000,80,7.7,28,0,942,30,16,12,58,7.027,103,807,79.66409762,8.971540318,6.334016393,7.6875,466,22,476,36,488,512
6,1000,80,7.7,28,0,960,14,14,12,40,6.588,85,777,79.57220163,8.502877076,5.833641405,7.477124183,527,14,433,26,541,459
1,1000,80,7.7,28,0,931,37,15,17,69,7.284,106,784,80.25540726,9.112709378,6.750499002,7.819639279,472,29,459,40,501,499
2,1000,80,7.7,28,0,947,30,14,9,53,6.965,90,788,79.83933414,8.731864925,6.182170543,7.799586777,494,22,453,31,516,484
5,1000,80,7.7,28,1,947,27,13,13,53,7.138668115,103,828,80.14700355,8.810943164,5.881061614,8.366449956,481,13,466,40,494,506
8,1000,80,7.7,28,1,960,23,11,6,40,6.747765746,98,789,80.22387458,8.57558617,6.098206019,7.437504425,503,12,457,28,515,485
7,1000,80,7.7,28,1,943,28,14,15,57,7.142791325,82,818,80.12041112,8.920254857,6.65704528,7.620827115,477,19,466,38,496,504
4,1000,80,7.7,28,1,943,27,16,14,57,7.045658782,96,799,80.02894392,8.928911683,6.476402271,7.573235625,459,22,484,35,481,519
1,1000,80,7.7,28,1,931,37,16,16,69,7.268621859,101,828,80.29427398,9.126951479,6.730217114,7.80918454,472,29,459,40,501,499
3,1000,80,7.7,28,1,943,29,16,12,57,7.056422636,84,797,79.68999448,8.994676875,6.381403541,7.699800211,466,22,477,35,488,512
6,1000,80,7.7,28,1,961,13,14,12,39,6.593314402,90,798,79.66222414,8.536655403,5.816486866,7.508921585,528,13,433,26,541,459
2,1000,80,7.7,28,1,947,30,15,8,53,6.999810969,94,796,79.86052977,8.774751815,6.231779655,7.818621213,494,22,453,31,516,484
5,1000,80,7.7,28,2,948,26,13,13,52,7.176342462,100,790,80.23339507,8.864740123,5.915643649,8.40714328,481,13,467,39,494,506
8,1000,80,7.7,28,2,960,23,11,6,40,6.765647229,109,813,80.29104345,8.614232164,6.141522689,7.428377411,503,12,457,28,515,485
