[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
2,1000,20,7.7,28,0,941,26,13,20,59,7.432,104,199,19.62354535,8.921789153,6.336397059,8.739035088,530,14,411,45,544,456
5,1000,20,7.7,28,0,949,19,18,14,51,7.031,81,204,20.13365112,8.689518946,6.169421488,7.839147287,469,15,480,36,484,516
6,1000,20,7.7,28,0,942,28,14,16,58,7.222,86,231,20.0365097,8.945570593,6.458158996,7.921455939,459,19,483,39,478,522
4,1000,20,7.7,28,0,929,31,22,18,71,7.341,101,206,19.97170515,9.022727428,6.081871345,8.667351129,493,20,436,51,513,487
8,1000,20,7.7,28,0,939,19,22,20,61,7.401,83,221,19.95859551,8.890608083,6.525911708,8.352818372,505,16,434,45,521,479
3,1000,20,7.7,28,0,928,35,20,17,72,7.601,97,186,20.2036562,9.187832911,6.597222222,8.620967742,478,26,450,46,504,496
7,1000,20,7.7,28,0,951,25,15,9,49,6.884,91,230,19.80137845,8.660078536,6.16015625,7.643442623,493,19,458,30,512,488
1,1000,20,7.7,28,0,949,28,11,12,51,6.909,96,214,20.01033916,8.7560907,5.984126984,7.848790323,492,12,457,39,504,496
2,1000,20,7.7,28,1,941,26,13,20,59,7.455656731,96,159,19.63761969,8.930417602,6.350327607,8.774294984,530,14,411,45,544,456
5,1000,20,7.7,28,1,949,21,18,12,51,7.018601634,92,204,20.14270095,8.692249226,6.136860651,7.845661005,469,15,480,36,484,516
8,1000,20,7.7,28,1,940,19,21,20,60,7.43949989,102,212,19.98317817,8.910779159,6.589998165,8.363488196,505,16,435,44,521,479
4,1000,20,7.7,28,1,930,31,22,17,70,7.359540753,96,210,19.98906763,9.048175869,6.112768492,8.672875805,493,20,437,50,513,487
7,1000,20,7.7,28,1,951,26,14,9,49,6.89626891,113,211,19.81019794,8.679649272,6.181179964,7.646526165,493,19,458,30,512,488
6,1000,20,7.7,28,1,943,27,15,15,57,7.224994198,100,219,20.04670844,8.971526109,6.4792965,7.907836152,459,19,484,38,478,522
1,1000,20,7.7,28,1,951,27,11,11,49,6.879596332,95,186,20.03131208,8.73476662,5.989736403,7.783808842,492,12,459,37,504,496
3,1000,20,7.7,28,1,931,33,19,17,69,7.603629608,113,209,20.21666537,9.20460278,6.603033538,8.620364323,479,25,452,44,504,496
2,1000,20,7.7,28,2,940,28,13,19,60,7.483002483,85,195,19.66238329,8.926009959,6.380117973,8.798724355,529,15,411,45,544,456
5,1000,20,7.7,28,2,949,21,18,12,51,7.075538846,94,208,20.14587143,8.683379402,6.228127064,7.87039796,469,15,480,36,484,516
8,1000,20,7.7,28,2,939,20,21,20,61,7.4982518,86,206,19.99728479,8.923715408,6.632101598,8.440348367,504,17,435,44,521,479
4,1000,20,7.7,28,2,931,30,21,18,69,7.377233177,95,185,20.00811869,9.045492914,6.113890451,8.708023359,494,19,437,50,513,487
7,1000,20,7.7,28,2,951,26,14,9,49,6.901807479,97,200,19.82076892,8.686727342,6.184335651,7.654564807,493,19,458,30,512,488
6,1000,20,7.7,28,2,943,27,15,15,57,7.219876944,98,204,20.04689589,8.979731814,6.453946144,7.921246528,459,19,484,38,478,522
1,1000,20,7.7,28,2,952,26,12,10,48,6.86548539,94,215,20.05681644,8.744881606,6.009880017,7.73489085,492,12,460,36,504,496
3,1000,20,7.7,28,2,932,32,19,17,68,7.606078529,92,214,20.24022792,9.204504333,6.648201241,8.579405451,479,25,453,43,504,496
2,1000,20,7.7,28,3,941,27,14,18,59,7.520746813,78,210,19.67829169,8.948741965,6.468642035,8.775889355,529,15,412,44,544,456
5,1000,20,7.7,28,3,949,21,18,12,51,7.109215394,87,170,20.15761086,8.691713437,6.232446381,7.931611134,469,15,480,36,484,516
8,1000,20,7.7,28,3,940,20,21,19,60,7.499974812,90,227,20.03519402,8.933284767,6.660853557,8.412672462,504,17,436,43,521,479
4,1000,20,7.7,28,3,936,29,18,17,64,7.342616219,90,206,20.01261331,9.066085486,6.153441893,8.595278291,494,19,442,45,513,487
7,1000,20,7.7,28,3,952,23,16,9,48,6.933501841,77,205,19.84020309,8.687366388,6.222742575,7.679216481,493,19,459,29,512,488
6,1000,20,7.7,28,3,943,28,16,13,57,7.195146679,88,191,20.07276989,8.992182492,6.460528715,7.867842823,459,19,484,38,478,522
3,1000,20,7.7,28,3,934,31,18,17,66,7.610159529,93,214,20.24927884,9.215116739,6.656645597,8.579052719,480,24,454,42,504,496
1,1000,20,7.7,28,3,953,25,12,10,47,6.887429999,105,207,20.05477085,8.744104416,6.036174024,7.75241591,492,12,461,35,504,496
2,1000,20,7.7,28,4,940,27,15,18,60,7.563613568,73,185,19.6900217,8.943541428,6.541444441,8.783043404,528,16,412,44,544,456
5,1000,20,7.7,28,4,948,21,19,12,52,7.127977717,93,190,20.17716363,8.693847341,6.245781859,7.955463755,469,15,479,37,484,516
8,1000,20,7.7,28,4,942,20,19,19,58,7.525616601,108,228,20.03740797,8.942312017,6.73747175,8.382868097,504,17,438,41,521,479
4,1000,20,7.7,28,4,935,29,19,17,65,7.366422926,99,208,20.02473957,9.089381779,6.173619609,8.622907734,494,19,441,46,513,487
7,1000,20,7.7,28,4,953,22,16,9,47,6.950430432,97,223,19.84045929,8.695697579,6.234993943,7.701052323,493,19,460,28,512,488
6,1000,20,7.7,28,4,943,28,16,13,57,7.195738342,101,214,20.08375021,8.993751482,6.47687647,7.854006493,459,19,484,38,478,522
3,1000,20,7.7,28,4,934,30,19,17,66,7.608856225,96,203,20.24701999,9.22215507,6.684437963,8.54818446,480,24,454,42,504,496
2,1000,20,7.7,28,5,939,28,16,17,61,7.5940462,91,223,19.72302747,8.951873576,6.569198808,8.816671159,528,16,411,45,544,456
1,1000,20,7.7,28,4,953,26,13,8,47,6.91578785,97,197,20.0897498,8.746134458,6.082860787,7.762149222,493,11,460,36,504,496
5,1000,20,7.7,28,5,949,22,18,11,51,7.127988954,102,201,20.18763209,8.699887984,6.248128833,7.953284106,471,13,478,38,484,516
