[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
5,1000,10,7.7,28,0,935,37,15,13,65,7.265,98,113,10.32678903,8.981808559,6.523305085,7.928030303,448,24,487,41,472,528
6,1000,10,7.7,28,0,949,23,13,15,51,7.152,99,107,10.01535311,8.765336777,6.363992172,7.975460123,493,18,456,33,511,489
3,1000,10,7.7,28,0,942,33,14,11,58,7.158,84,88,10.21892064,8.876238052,6.279069767,7.94686907,456,17,486,41,473,527
4,1000,10,7.7,28,0,943,28,11,18,57,7.041,100,121,10.36788463,8.83690686,6.061023622,8.052845528,491,17,452,40,508,492
8,1000,10,7.7,28,0,938,37,17,8,62,7.254,91,108,9.870036939,8.929996784,6.547717842,7.911196911,454,28,484,34,482,518
2,1000,10,7.7,28,0,943,25,15,17,57,7.074,106,118,9.987042679,8.884049095,6.592975207,7.525193798,466,18,477,39,484,516
7,1000,10,7.7,28,0,949,26,12,13,51,7.009,96,114,10.08380504,8.823133893,6.17791411,7.804305284,475,14,474,37,489,511
1,1000,10,7.7,28,0,945,28,15,12,55,7.057,106,109,10.2230072,8.815873981,6.3722334,7.73359841,478,19,467,36,497,503
5,1000,10,7.7,28,1,934,38,15,13,66,7.302939979,76,102,10.33512303,8.989960227,6.559545458,7.967489626,448,24,486,42,472,528
2,1000,10,7.7,28,1,943,25,15,17,57,7.089314615,82,98,9.992340092,8.899449767,6.604724901,7.543852254,466,18,477,39,484,516
6,1000,10,7.7,28,1,951,23,12,14,49,7.15671484,91,108,10.03380013,8.766180956,6.370025826,7.978796816,493,18,458,31,511,489
3,1000,10,7.7,28,1,943,33,13,11,57,7.165111043,90,113,10.2278077,8.887992874,6.310506293,7.932147185,456,17,487,40,473,527
7,1000,10,7.7,28,1,949,26,12,13,51,7.038054925,83,87,10.09987274,8.850760736,6.184695386,7.854674914,475,14,474,37,489,511
8,1000,10,7.7,28,1,940,37,15,8,60,7.25427516,98,125,9.882699154,8.936465554,6.567273075,7.893531927,453,29,487,31,482,518
1,1000,10,7.7,28,1,947,27,14,12,53,7.056672477,95,115,10.22231015,8.818544608,6.385583925,7.719755997,478,19,469,34,497,503
4,1000,10,7.7,28,1,943,28,11,18,57,7.066863562,74,124,10.37676517,8.838316595,6.090325436,8.075159025,491,17,452,40,508,492
5,1000,10,7.7,28,2,934,38,15,13,66,7.302242341,97,120,10.31701276,8.981389052,6.553411765,7.971651493,448,24,486,42,472,528
2,1000,10,7.7,28,2,943,25,15,17,57,7.094148315,98,123,10.0081056,8.900238697,6.584542992,7.572150207,467,17,476,40,484,516
3,1000,10,7.7,28,2,944,31,14,11,56,7.194019865,103,114,10.25448149,8.884946359,6.350363408,7.951229551,456,17,488,39,473,527
6,1000,10,7.7,28,2,951,23,12,14,49,7.184904656,95,100,10.03496009,8.787486008,6.387475038,8.018210454,493,18,458,31,511,489
